itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
346,2.863,0.737,2.688,5.685,1.299,4.258,7.039,4.702,22.266,1.158,1.305,1.802,1.107,1.624,1.547,2.964,1.349,1.234,0.525,1.029,2.329,4.338,2.518,0.714,1.13
347,3.88,0.7,2.92,7.191,1.157,4.471,5.611,4.625,21.299,1.064,1.15,1.649,1.059,1.75,1.486,2.723,1.494,1.251,0.53,0.961,2.287,4.287,2.405,0.797,1.027
348,4.687,0.677,3.162,8.41,0.973,4.555,5.178,4.4,21.183,0.956,0.952,1.447,0.982,2.004,1.491,2.269,1.768,1.241,0.532,0.884,2.505,3.848,2.126,0.883,0.905
349,5.05,0.672,3.309,8.956,0.803,4.51,5.506,3.953,22.811,0.851,0.77,1.27,0.897,2.248,1.572,1.76,2.153,1.218,0.533,0.808,2.939,3.167,1.799,0.938,0.787
350,4.849,0.679,3.237,8.62,0.686,4.363,6.088,3.352,25.994,0.759,0.652,1.159,0.826,2.417,1.712,1.343,2.55,1.176,0.535,0.748,3.378,2.429,1.515,0.939,0.703
351,4.146,0.686,2.921,7.459,0.636,4.157,6.515,2.796,29.753,0.675,0.613,1.129,0.787,2.63,1.864,1.116,2.829,1.093,0.533,0.714,3.607,1.768,1.306,0.887,0.674
352,3.15,0.679,2.433,5.788,0.637,3.933,6.621,2.496,32.591,0.595,0.638,1.188,0.792,3.059,1.968,1.08,2.899,0.968,0.53,0.711,3.502,1.247,1.141,0.811,0.698
353,2.189,0.653,2.064,4.102,0.662,3.822,6.465,2.538,33.265,0.519,0.69,1.329,0.848,3.78,1.978,1.22,2.763,0.839,0.529,0.73,3.094,0.876,0.976,0.753,0.753
354,1.591,0.613,2.299,2.897,0.686,4.032,6.188,2.835,31.074,0.469,0.728,1.535,0.937,4.7,1.89,1.465,2.505,0.772,0.534,0.756,2.588,0.631,0.804,0.749,0.808
355,1.486,0.571,3.682,2.424,0.688,4.949,5.945,3.18,26.725,0.47,0.729,1.754,1.029,5.605,1.756,1.733,2.222,0.818,0.551,0.775,2.216,0.508,0.656,0.806,0.842
356,1.783,0.535,6.327,2.666,0.662,6.834,5.926,3.364,22.253,0.528,0.689,1.918,1.089,6.219,1.653,1.966,1.99,0.975,0.585,0.789,2.103,0.538,0.568,0.894,0.853
357,2.28,0.506,9.78,3.431,0.623,9.445,6.248,3.317,20.035,0.63,0.622,1.971,1.098,6.388,1.648,2.099,1.84,1.178,0.633,0.802,2.214,0.726,0.55,0.967,0.856
358,2.811,0.48,13.201,4.474,0.587,12.173,6.846,3.114,21.024,0.749,0.55,1.896,1.054,6.145,1.761,2.121,1.744,1.329,0.684,0.82,2.465,1.031,0.584,0.991,0.871
