itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
600,4.018,0.372,29.65,2.176,0.446,10.209,0.767,2.626,13.21,1.357,0.515,0.685,0.422,1.139,2.587,5.533,0.485,0.59,0.537,0.515,1.441,1.38,0.736,0.857,0.999
601,5.091,0.348,44.793,2.401,0.497,13.583,0.766,2.541,13.334,1.348,0.531,0.85,0.41,0.856,2.611,6.732,0.785,0.507,0.506,0.532,1.347,1.4,0.824,0.851,1.046
602,6.201,0.34,61.294,2.634,0.56,17.786,0.759,2.46,13.763,1.353,0.518,1.035,0.387,0.642,2.709,7.514,1.366,0.465,0.463,0.528,1.327,1.427,0.875,0.786,1.01
603,6.981,0.337,73.366,2.837,0.616,20.89,0.717,2.403,14.763,1.364,0.476,1.174,0.366,0.487,2.919,7.658,2.131,0.462,0.408,0.51,1.376,1.48,0.915,0.687,0.906
604,7.12,0.34,77.914,2.96,0.656,22.366,0.656,2.402,16.451,1.337,0.414,1.214,0.364,0.396,3.237,6.972,2.892,0.484,0.356,0.489,1.46,1.568,0.999,0.595,0.77
605,6.487,0.354,71.446,2.954,0.674,20.681,0.617,2.49,18.506,1.237,0.35,1.149,0.394,0.398,3.594,5.718,3.444,0.521,0.322,0.475,1.56,1.672,1.179,0.541,0.647
606,5.212,0.381,57.042,2.794,0.665,17.09,0.668,2.687,20.744,1.091,0.301,1.046,0.459,0.526,3.868,4.253,3.645,0.58,0.307,0.471,1.732,1.738,1.459,0.531,0.57
607,3.613,0.419,38.14,2.476,0.631,12.099,0.876,2.976,22.97,0.948,0.278,0.978,0.547,0.796,3.947,3.022,3.473,0.667,0.303,0.473,1.918,1.719,1.786,0.541,0.544
608,2.141,0.463,20.838,2.072,0.581,7.744,1.291,3.273,24.99,0.877,0.285,1.016,0.637,1.197,3.785,2.188,3.046,0.78,0.298,0.474,2.17,1.616,2.074,0.544,0.554
609,1.172,0.504,8.889,1.702,0.528,4.821,1.873,3.472,26.998,0.906,0.322,1.175,0.709,1.674,3.433,1.737,2.549,0.893,0.279,0.472,2.409,1.474,2.245,0.526,0.577
