itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
235,1.327,1.457,3.87,1.515,0.829,4.479,1.947,1.005,6.104,0.349,0.507,0.662,0.281,0.399,0.339,2.739,1.476,0.375,0.911,0.287,3.768,1.916,1.133,0.998,0.397
236,0.966,1.422,3.574,1.141,0.845,4.094,1.595,1.07,5.6,0.335,0.529,0.586,0.327,0.437,0.414,2.624,1.312,0.383,0.989,0.313,3.492,1.63,1.132,0.966,0.414
237,0.79,1.295,3.355,0.95,0.814,4.077,1.3,1.085,4.879,0.373,0.572,0.562,0.398,0.467,0.541,2.798,1.29,0.439,1.046,0.353,3.094,1.469,1.148,0.971,0.468
238,0.867,1.125,3.701,0.994,0.76,4.82,1.125,1.075,4.07,0.475,0.627,0.601,0.481,0.494,0.706,3.518,1.497,0.59,1.1,0.4,2.894,1.528,1.183,1.061,0.567
239,1.126,0.967,4.864,1.199,0.717,6.345,1.071,1.073,3.531,0.645,0.684,0.711,0.56,0.545,0.884,4.792,1.908,0.859,1.167,0.445,4.192,2.217,1.166,1.331,0.721
240,1.444,0.861,6.746,1.438,0.71,8.357,1.124,1.091,3.912,0.903,0.734,0.916,0.628,0.661,1.04,6.35,2.421,1.234,1.252,0.485,14.878,5.361,1.623,2.27,1.053
241,1.75,0.815,9.121,1.64,0.745,10.528,1.272,1.125,5.55,1.274,0.782,1.235,0.69,0.902,1.152,8.068,2.921,1.666,1.344,0.522,46.201,13.697,3.55,4.587,1.79
242,2.031,0.811,11.687,1.785,0.806,12.762,1.487,1.147,8.538,1.781,0.834,1.676,0.764,1.315,1.22,9.916,3.338,2.091,1.42,0.565,108.047,28.533,7.592,8.593,3.087
243,2.288,0.843,14.096,1.882,0.886,14.96,1.713,1.132,12.287,2.398,0.897,2.204,0.857,1.892,1.267,11.975,3.639,2.445,1.454,0.616,193.032,48.075,13.471,13.79,4.866
244,2.494,0.929,15.993,1.917,0.989,16.897,1.885,1.075,16.052,3.044,0.968,2.748,0.96,2.576,1.327,14.167,3.794,2.701,1.44,0.675,285.236,67.375,19.79,18.915,6.766
245,2.623,1.088,17.154,1.881,1.12,18.288,1.947,0.993,18.992,3.597,1.032,3.203,1.046,3.236,1.433,15.898,3.769,2.842,1.386,0.732,354.011,80.225,24.591,22.41,8.25
246,2.64,1.316,17.315,1.77,1.275,18.705,1.879,0.938,20.671,3.909,1.074,3.449,1.08,3.737,1.613,17.155,3.552,2.852,1.306,0.774,378.211,82.086,26.206,23.116,8.84
247,2.531,1.571,16.606,1.601,1.447,18.114,1.763,0.974,21.32,3.897,1.087,3.43,1.042,4.007,1.874,17.183,3.188,2.748,1.219,0.79,348.511,72.188,24.001,20.811,8.345
248,2.296,1.794,14.934,1.394,1.611,16.116,1.705,1.15,21.207,3.59,1.08,3.182,0.942,4.033,2.192,15.923,2.757,2.564,1.137,0.778,275.125,54.079,18.777,16.323,6.949
249,1.992,1.923,13.058,1.181,1.731,13.584,1.751,1.479,20.617,3.122,1.066,2.84,0.818,3.86,2.526,13.451,2.338,2.337,1.067,0.746,183.813,33.757,12.506,11.142,5.14
250,1.679,1.927,11.582,0.991,1.77,11.359,1.871,1.931,19.67,2.714,1.057,2.609,0.719,3.576,2.827,10.882,2.029,2.158,1.024,0.709,100.837,16.832,7.223,6.718,3.476
251,1.406,1.81,11.217,0.849,1.709,10.548,2.009,2.424,18.293,2.559,1.047,2.665,0.677,3.287,3.046,8.929,1.882,2.132,1.015,0.681,44.715,6.268,4.222,3.834,2.354
252,1.178,1.612,12.003,0.744,1.562,11.339,2.076,2.857,16.292,2.712,1.023,3.042,0.689,3.077,3.148,8.29,1.871,2.309,1.043,0.67,18.981,1.803,3.498,2.444,1.882
253,1.029,1.393,13.326,0.681,1.369,12.961,2.033,3.141,13.591,3.051,0.998,3.584,0.738,2.962,3.128,8.507,1.905,2.628,1.096,0.685,14.843,1.097,4.126,2.002,1.913
254,1.024,1.203,14.163,0.68,1.177,14.229,1.929,3.232,10.521,3.366,1.008,4.031,0.809,2.916,3.028,8.835,1.908,2.928,1.15,0.748,18.139,1.756,5.05,1.965,2.192
255,1.192,1.066,13.885,0.743,1.019,14.246,1.828,3.14,7.619,3.465,1.102,4.155,0.902,2.879,2.904,8.661,1.854,3.046,1.18,0.873,20.621,2.745,5.666,2.124,2.535
256,1.508,0.966,12.508,0.868,0.904,12.88,1.794,2.92,5.332,3.265,1.303,3.862,1.021,2.8,2.801,7.886,1.779,2.899,1.169,1.058,22.154,3.729,5.732,2.39,2.842
257,1.88,0.894,10.526,1.062,0.834,10.558,1.843,2.647,3.902,2.804,1.594,3.23,1.166,2.655,2.734,6.69,1.744,2.528,1.126,1.271,21.365,4.469,5.254,2.656,3.041
258,2.184,0.857,8.164,1.33,0.82,7.79,1.909,2.39,3.106,2.208,1.924,2.454,1.325,2.45,2.693,5.352,1.774,2.05,1.089,1.467,18.234,4.82,4.446,2.861,3.118
259,2.339,0.86,5.994,1.661,0.849,5.35,1.919,2.193,2.733,1.621,2.214,1.735,1.468,2.222,2.66,4.05,1.848,1.594,1.096,1.598,13.866,4.816,3.63,2.987,3.12
260,2.32,0.891,4.354,2.012,0.899,3.696,1.837,2.059,2.617,1.142,2.394,1.202,1.559,2.047,2.605,3.164,1.919,1.259,1.163,1.627,9.912,4.621,3.075,3.074,3.114
