itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
841,2.017,1.045,3.986,1.817,1.108,4.425,1.913,0.722,2.488,2.196,0.829,2.164,0.684,1.276,0.461,5.786,2.57,2.577,0.684,0.51,4.395,3.073,3.516,1.031,0.707
842,2.582,1.141,4.108,2.17,1.293,4.069,2.597,0.747,2.636,1.974,0.87,1.889,0.701,1.198,0.431,6.046,3.169,2.171,0.846,0.473,3.97,3.866,3.019,1.249,0.708
843,3.215,1.275,4.301,2.712,1.561,3.919,3.281,0.88,2.977,1.789,0.928,1.645,0.732,1.104,0.416,6.599,3.805,1.739,1.089,0.44,3.995,4.856,2.411,1.512,0.709
844,3.75,1.425,4.697,3.39,1.872,4.176,3.839,1.093,3.772,1.656,1.021,1.475,0.798,1.003,0.422,7.594,4.347,1.337,1.366,0.423,4.733,5.911,1.845,1.762,0.715
845,4.09,1.569,5.179,4.094,2.159,4.531,4.211,1.323,4.541,1.63,1.161,1.454,0.916,0.928,0.452,8.238,4.719,1.067,1.606,0.43,5.625,6.81,1.441,1.932,0.728
846,4.233,1.685,5.969,4.662,2.355,5.001,4.4,1.503,5.501,1.762,1.346,1.632,1.09,0.921,0.504,8.621,4.911,1.035,1.749,0.464,6.423,7.303,1.247,1.985,0.748
847,4.257,1.756,6.859,4.942,2.415,5.274,4.453,1.584,6.047,2.048,1.559,1.978,1.301,1.028,0.566,8.177,4.983,1.27,1.766,0.519,6.527,7.224,1.247,1.925,0.776
848,4.264,1.791,7.983,4.91,2.346,5.49,4.43,1.565,6.495,2.409,1.766,2.382,1.512,1.254,0.629,7.628,5.038,1.713,1.678,0.586,6.133,6.592,1.406,1.81,0.815
849,4.295,1.8,8.925,4.632,2.195,5.53,4.34,1.476,6.46,2.722,1.928,2.683,1.682,1.545,0.681,6.854,5.081,2.228,1.541,0.656,5.362,5.572,1.656,1.709,0.866
850,4.335,1.782,9.647,4.255,2.024,5.679,4.166,1.357,6.391,2.862,2.009,2.765,1.777,1.797,0.718,6.69,5.065,2.652,1.408,0.721,4.883,4.44,1.892,1.666,0.933
851,4.317,1.746,10.083,3.925,1.896,6.025,3.916,1.241,6.273,2.775,1.987,2.607,1.785,1.927,0.736,6.904,4.937,2.858,1.314,0.772,4.941,3.457,2.018,1.687,1.01
852,4.191,1.719,10.246,3.745,1.842,6.737,3.606,1.152,6.338,2.507,1.856,2.285,1.706,1.909,0.734,7.653,4.668,2.808,1.263,0.801,5.672,2.792,1.989,1.734,1.085
853,3.94,1.715,10.327,3.701,1.847,7.781,3.302,1.085,6.659,2.164,1.637,1.92,1.56,1.776,0.714,8.621,4.291,2.55,1.237,0.807,6.784,2.458,1.805,1.757,1.145
854,3.586,1.756,10.3,3.665,1.879,8.915,3.053,1.036,7.168,1.897,1.375,1.648,1.385,1.592,0.676,9.668,3.871,2.213,1.223,0.794,7.858,2.331,1.533,1.739,1.178
855,3.155,1.847,10.269,3.48,1.912,9.988,2.849,0.997,7.819,1.851,1.123,1.578,1.222,1.423,0.623,10.756,3.435,1.935,1.221,0.771,8.574,2.216,1.271,1.688,1.177
856,2.75,1.996,10.079,3.134,1.944,10.617,2.666,0.974,8.368,2.111,0.926,1.76,1.109,1.302,0.561,11.66,3.014,1.796,1.252,0.745,8.649,2.022,1.094,1.637,1.14
857,2.54,2.191,9.894,2.765,1.992,11.014,2.502,0.983,8.818,2.678,0.805,2.224,1.063,1.232,0.502,12.595,2.704,1.828,1.335,0.72,8.361,1.852,1.05,1.612,1.08
858,2.664,2.392,9.476,2.545,2.056,10.934,2.381,1.027,8.839,3.438,0.756,2.933,1.084,1.193,0.466,13.004,2.603,2.013,1.461,0.695,7.759,1.885,1.153,1.609,1.01
859,3.15,2.546,9.334,2.573,2.123,11.028,2.309,1.097,8.57,4.22,0.764,3.813,1.154,1.184,0.469,13.311,2.724,2.326,1.588,0.67,7.541,2.249,1.399,1.596,0.945
