itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
54,6.51,1.488,20.905,5.072,1.389,16.803,1.613,2.719,1.918,1.521,0.362,2.576,0.312,0.812,1.036,1.456,1.804,1.758,0.716,0.215,2.228,2.688,7.782,2.583,1.392
55,6.992,1.31,31.113,5.23,1.264,24.516,1.559,2.452,2.099,1.995,0.405,2.93,0.346,0.846,1.1,1.291,1.509,1.637,0.639,0.242,2.023,3.471,7.757,2.344,1.462
56,7.108,1.087,39.944,5.154,1.122,31.209,1.589,2.111,2.184,2.497,0.436,3.33,0.369,0.96,1.152,1.179,1.352,1.514,0.538,0.271,1.772,4.339,7.239,1.987,1.512
57,6.769,0.883,44.744,4.823,1.0,34.948,1.694,1.748,2.159,2.885,0.448,3.634,0.372,1.16,1.163,1.124,1.343,1.412,0.437,0.294,1.522,5.07,6.449,1.593,1.544
58,5.841,0.753,43.216,4.141,0.929,33.91,1.814,1.435,2.023,3.009,0.439,3.667,0.358,1.397,1.12,1.156,1.405,1.318,0.363,0.309,1.239,5.441,5.63,1.3,1.565
59,4.736,0.731,37.138,3.402,0.926,29.365,1.9,1.248,1.79,2.839,0.418,3.367,0.337,1.591,1.027,1.178,1.436,1.221,0.336,0.314,0.974,5.339,4.995,1.224,1.579
60,4.147,0.819,30.212,3.098,0.997,23.796,1.93,1.232,1.509,2.453,0.394,2.819,0.32,1.685,0.915,1.221,1.374,1.13,0.364,0.313,0.734,4.807,4.648,1.398,1.585
61,4.639,0.993,27.431,3.621,1.133,20.968,1.917,1.369,1.22,1.994,0.373,2.206,0.316,1.676,0.825,1.197,1.24,1.086,0.438,0.308,0.593,4.054,4.553,1.746,1.571
62,6.284,1.197,31.262,5.003,1.301,22.856,1.879,1.584,1.002,1.587,0.361,1.692,0.322,1.598,0.789,1.163,1.116,1.108,0.53,0.301,0.601,3.288,4.554,2.1,1.524
63,8.571,1.366,40.74,6.838,1.445,29.073,1.799,1.771,0.897,1.378,0.358,1.421,0.333,1.501,0.819,1.092,1.071,1.181,0.604,0.294,0.711,2.674,4.468,2.286,1.439
64,10.569,1.446,51.322,8.415,1.513,36.488,1.671,1.853,0.927,1.502,0.365,1.484,0.342,1.45,0.902,1.087,1.127,1.29,0.648,0.29,0.904,2.328,4.199,2.221,1.33
65,11.328,1.423,57.97,9.019,1.479,41.478,1.503,1.822,1.087,2.021,0.381,1.897,0.348,1.491,1.011,1.164,1.255,1.423,0.681,0.297,1.118,2.299,3.794,1.948,1.223
66,10.524,1.319,58.661,8.393,1.356,42.274,1.337,1.719,1.343,2.927,0.405,2.6,0.355,1.621,1.123,1.389,1.394,1.568,0.73,0.318,1.356,2.568,3.33,1.587,1.15
67,8.847,1.185,56.319,6.979,1.191,40.4,1.224,1.606,1.625,4.138,0.433,3.479,0.366,1.793,1.235,1.701,1.485,1.703,0.809,0.351,1.637,3.029,2.873,1.279,1.128
68,7.35,1.07,56.011,5.501,1.026,38.874,1.182,1.534,1.835,5.407,0.464,4.304,0.385,1.908,1.359,2.059,1.487,1.794,0.904,0.391,1.946,3.509,2.472,1.127,1.169
69,6.936,0.99,61.532,4.644,0.886,40.052,1.184,1.511,1.9,6.416,0.495,4.826,0.407,1.889,1.504,2.347,1.395,1.803,0.972,0.428,2.274,3.816,2.162,1.169,1.269
70,7.831,0.947,72.931,4.705,0.786,44.31,1.187,1.506,1.792,6.907,0.532,4.904,0.433,1.71,1.651,2.561,1.245,1.713,0.976,0.451,2.604,3.864,1.978,1.38,1.406
71,9.467,0.932,86.379,5.441,0.74,49.866,1.154,1.478,1.574,6.795,0.584,4.583,0.463,1.419,1.757,2.704,1.1,1.539,0.905,0.45,2.953,3.721,1.928,1.69,1.543
72,10.876,0.936,95.909,6.252,0.759,53.635,1.067,1.401,1.295,6.192,0.652,4.05,0.498,1.092,1.773,2.79,1.012,1.313,0.781,0.424,3.221,3.535,2.001,2.003,1.639
73,11.258,0.943,96.094,6.58,0.825,52.71,0.937,1.274,1.039,5.33,0.726,3.516,0.533,0.813,1.672,2.829,1.007,1.087,0.646,0.38,3.389,3.43,2.214,2.231,1.664
74,10.38,0.941,84.96,6.201,0.902,46.046,0.797,1.11,0.811,4.448,0.783,3.105,0.558,0.645,1.468,2.796,1.069,0.906,0.545,0.329,3.383,3.419,2.592,2.302,1.615
75,8.63,0.926,64.73,5.262,0.954,34.853,0.68,0.933,0.647,3.712,0.801,2.829,0.563,0.611,1.21,2.717,1.15,0.799,0.5,0.285,3.295,3.417,3.089,2.188,1.509
76,6.578,0.91,41.919,4.048,0.971,22.746,0.609,0.773,0.533,3.168,0.767,2.618,0.542,0.687,0.966,2.617,1.217,0.769,0.512,0.253,3.187,3.31,3.587,1.928,1.385
77,4.775,0.908,22.435,2.889,0.963,12.628,0.585,0.654,0.475,2.781,0.686,2.394,0.499,0.815,0.788,2.541,1.247,0.791,0.553,0.234,3.204,3.027,3.94,1.62,1.275
78,3.551,0.928,9.728,2.053,0.953,6.273,0.589,0.584,0.464,2.513,0.585,2.148,0.449,0.932,0.691,2.517,1.252,0.84,0.594,0.222,3.38,2.611,4.023,1.369,1.2
79,2.888,0.966,3.768,1.599,0.961,3.461,0.588,0.568,0.501,2.351,0.491,1.93,0.408,1.012,0.662,2.57,1.254,0.906,0.616,0.215,3.69,2.18,3.812,1.243,1.158
80,2.606,0.993,2.431,1.434,0.975,3.079,0.569,0.604,0.573,2.254,0.426,1.763,0.387,1.049,0.668,2.62,1.255,0.958,0.607,0.207,3.987,1.829,3.359,1.236,1.136
81,2.797,0.975,4.646,1.667,0.965,4.956,0.545,0.676,0.669,2.149,0.4,1.634,0.387,1.054,0.676,2.567,1.24,0.978,0.567,0.197,4.216,1.655,2.858,1.311,1.121
82,3.817,0.895,11.368,2.615,0.907,10.226,0.554,0.763,0.803,1.987,0.409,1.531,0.402,1.053,0.676,2.356,1.212,0.964,0.512,0.188,4.389,1.765,2.555,1.452,1.112
83,5.878,0.764,23.051,4.447,0.804,19.34,0.627,0.849,0.998,1.812,0.437,1.48,0.422,1.077,0.675,2.07,1.198,0.933,0.466,0.186,4.589,2.196,2.614,1.659,1.12
84,8.607,0.618,38.17,6.865,0.683,31.036,0.758,0.911,1.224,1.664,0.465,1.5,0.436,1.133,0.683,1.842,1.217,0.901,0.449,0.191,4.8,2.861,3.035,1.914,1.154
85,11.232,0.494,52.613,9.227,0.577,42.111,0.896,0.937,1.431,1.58,0.481,1.593,0.436,1.213,0.706,1.802,1.256,0.879,0.464,0.204,4.917,3.555,3.659,2.163,1.201
86,12.81,0.414,61.702,10.732,0.511,48.909,0.983,0.929,1.588,1.57,0.478,1.727,0.42,1.298,0.742,2.035,1.274,0.858,0.505,0.222,4.881,4.095,4.239,2.324,1.241
87,12.694,0.374,62.36,10.831,0.489,49.09,0.984,0.902,1.68,1.63,0.456,1.862,0.388,1.382,0.778,2.53,1.235,0.828,0.564,0.242,4.645,4.381,4.533,2.318,1.247
88,10.87,0.358,54.257,9.483,0.499,42.576,0.907,0.874,1.695,1.718,0.425,1.963,0.348,1.467,0.793,3.18,1.133,0.791,0.633,0.261,4.248,4.395,4.401,2.132,1.211
89,7.974,0.349,40.512,7.18,0.519,31.783,0.795,0.861,1.65,1.78,0.394,2.004,0.309,1.558,0.774,3.709,0.995,0.757,0.702,0.274,3.735,4.207,3.887,1.822,1.147
90,4.94,0.339,25.623,4.679,0.534,20.29,0.697,0.873,1.54,1.771,0.371,1.98,0.28,1.64,0.724,4.019,0.87,0.737,0.757,0.279,3.314,3.917,3.187,1.484,1.083
91,2.564,0.326,13.524,2.651,0.531,11.004,0.643,0.906,1.387,1.676,0.356,1.899,0.264,1.681,0.66,3.903,0.788,0.729,0.78,0.276,2.967,3.593,2.55,1.214,1.05
92,1.181,0.324,6.313,1.399,0.511,5.538,0.626,0.959,1.215,1.515,0.343,1.779,0.26,1.645,0.606,3.511,0.761,0.724,0.755,0.267,2.773,3.257,2.164,1.078,1.063
93,0.643,0.348,3.121,0.84,0.482,3.151,0.63,1.027,1.027,1.321,0.325,1.631,0.262,1.517,0.576,2.851,0.793,0.709,0.678,0.254,2.588,2.922,2.083,1.086,1.114
94,0.573,0.41,2.325,0.696,0.46,2.666,0.651,1.105,0.86,1.136,0.297,1.469,0.262,1.34,0.571,2.227,0.903,0.68,0.562,0.239,2.433,2.616,2.254,1.194,1.179
95,0.749,0.504,2.141,0.806,0.455,2.628,0.705,1.185,0.732,0.987,0.26,1.312,0.256,1.198,0.577,1.752,1.119,0.643,0.432,0.224,2.279,2.392,2.554,1.362,1.242
96,1.077,0.607,2.072,1.081,0.465,2.622,0.793,1.267,0.65,0.891,0.223,1.191,0.248,1.163,0.581,1.566,1.442,0.602,0.319,0.209,2.118,2.29,2.837,1.57,1.302
97,1.445,0.693,2.562,1.405,0.484,3.11,0.892,1.351,0.64,0.847,0.195,1.116,0.24,1.236,0.574,1.609,1.819,0.551,0.245,0.195,1.917,2.266,2.954,1.803,1.369
98,1.771,0.748,5.03,1.72,0.516,5.395,0.967,1.436,0.661,0.833,0.182,1.07,0.237,1.346,0.56,1.81,2.15,0.481,0.222,0.185,1.711,2.269,2.889,2.061,1.447
99,2.0,0.77,10.897,1.97,0.57,10.907,0.983,1.512,0.708,0.826,0.183,1.021,0.239,1.389,0.549,1.979,2.333,0.389,0.251,0.181,1.49,2.254,2.857,2.347,1.53
