itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
106,0.838,0.514,3.444,0.726,0.379,4.543,13.732,1.709,42.045,0.93,0.403,1.273,0.22,5.101,0.605,5.246,4.333,1.541,1.006,0.986,3.955,0.449,1.064,0.993,0.501
107,0.856,0.554,3.496,0.576,0.389,4.3,12.741,1.662,38.698,1.046,0.373,1.196,0.21,4.308,0.628,5.582,4.377,1.338,0.932,0.973,3.559,0.415,0.854,0.947,0.529
108,0.859,0.585,3.278,0.539,0.388,3.837,10.499,1.543,30.673,1.077,0.328,1.064,0.193,3.211,0.661,6.217,4.763,1.094,0.828,0.902,3.148,0.458,0.678,0.877,0.549
109,0.838,0.592,2.779,0.595,0.377,3.177,7.768,1.401,20.862,1.002,0.274,0.907,0.171,2.171,0.689,7.124,5.485,0.883,0.711,0.773,2.483,0.554,0.578,0.806,0.555
110,0.786,0.563,2.232,0.677,0.353,2.664,5.322,1.285,12.102,0.844,0.219,0.753,0.148,1.45,0.707,8.165,6.454,0.763,0.605,0.611,1.946,0.662,0.555,0.766,0.544
111,0.706,0.499,1.78,0.713,0.319,2.416,3.608,1.213,6.349,0.652,0.171,0.616,0.129,1.126,0.716,9.117,7.498,0.734,0.529,0.449,1.371,0.745,0.575,0.788,0.518
112,0.612,0.417,1.529,0.671,0.28,2.515,2.608,1.165,3.539,0.485,0.137,0.502,0.118,1.086,0.717,9.771,8.459,0.757,0.488,0.316,1.041,0.778,0.6,0.89,0.483
113,0.525,0.336,1.455,0.574,0.24,2.782,2.014,1.115,2.623,0.384,0.118,0.423,0.115,1.14,0.711,10.021,9.172,0.785,0.472,0.229,0.855,0.759,0.606,1.051,0.45
114,0.476,0.271,1.504,0.481,0.208,3.009,1.532,1.047,2.214,0.356,0.112,0.391,0.115,1.141,0.698,9.848,9.421,0.788,0.466,0.185,0.811,0.721,0.586,1.225,0.429
115,0.488,0.232,1.633,0.457,0.186,3.112,1.109,0.978,2.101,0.374,0.113,0.396,0.118,1.072,0.679,9.451,9.139,0.745,0.457,0.169,0.84,0.696,0.546,1.36,0.425
116,0.569,0.214,1.75,0.532,0.175,2.973,0.813,0.915,1.779,0.408,0.115,0.417,0.12,0.948,0.652,9.041,8.464,0.659,0.44,0.164,0.868,0.71,0.496,1.425,0.437
117,0.72,0.21,1.819,0.688,0.174,2.67,0.687,0.856,1.902,0.432,0.116,0.43,0.121,0.791,0.618,8.717,7.63,0.537,0.419,0.161,0.906,0.762,0.441,1.412,0.46
118,0.934,0.206,1.851,0.885,0.175,2.281,0.737,0.803,2.153,0.434,0.116,0.418,0.12,0.659,0.581,8.47,6.862,0.404,0.403,0.16,0.921,0.847,0.388,1.339,0.489
119,1.197,0.195,1.893,1.082,0.176,1.963,0.92,0.755,2.706,0.419,0.116,0.385,0.12,0.621,0.541,8.223,6.305,0.3,0.393,0.162,0.934,0.96,0.342,1.25,0.522
120,1.483,0.181,1.98,1.247,0.181,1.778,1.162,0.704,3.276,0.413,0.116,0.359,0.12,0.699,0.5,7.851,5.995,0.244,0.389,0.171,0.962,1.103,0.308,1.204,0.552
121,1.767,0.175,2.128,1.366,0.199,1.753,1.379,0.646,3.771,0.43,0.115,0.359,0.12,0.857,0.46,7.246,5.861,0.226,0.384,0.189,0.996,1.268,0.282,1.232,0.572
122,1.997,0.179,2.32,1.432,0.228,1.877,1.512,0.586,4.214,0.466,0.114,0.386,0.118,1.016,0.424,6.503,5.786,0.218,0.37,0.218,1.006,1.427,0.253,1.325,0.574
123,2.127,0.19,2.489,1.449,0.261,2.096,1.535,0.538,4.486,0.497,0.11,0.422,0.115,1.109,0.395,5.827,5.698,0.207,0.343,0.256,0.942,1.552,0.211,1.446,0.556
124,2.139,0.199,2.536,1.433,0.285,2.333,1.447,0.511,4.613,0.501,0.107,0.439,0.109,1.095,0.379,5.49,5.605,0.2,0.307,0.297,0.818,1.635,0.167,1.547,0.521
125,2.034,0.199,2.403,1.409,0.289,2.51,1.3,0.506,4.562,0.461,0.105,0.419,0.105,0.983,0.372,5.729,5.61,0.217,0.273,0.334,0.685,1.677,0.134,1.597,0.477
